Package_Name,Obfuscation_method,Path Obfuscated Code,Path Deobfuscated Code,Obfuscation Tool,Deobfuscation Tool,Obfuscated Code Detected,Deobfuscated Code Detected,Notes
component-emiter,Control Flow Flattening,/package/obfuscated/index(control_flow).js,/package/deobfuscated/index(control_flow)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,The obfuscation would not be able to applied 
component-emiter,Dead Code Injection,/package/obfuscated/index(dead_code).js,/package/deobfuscated/index(dead_code)deobf.js,manual,deobfuscate.relative.im,Yes,Yes,
component-emiter,Split Strings,/package/obfuscated/index(split_str).js,/package/deobfuscated/index(split_str)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,Split Strings Chunk Length set on 2
component-emiter,Unicode Escape Sequence,/package/obfuscated/index(unicode).js,/package/deobfuscated/index(unicode)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
component-emiter,String Array ,/package/obfuscated/index(string_array).js,/package/deobfuscated/index(string_array)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
component-emiter,String Array Rotate,/package/obfuscated/index(sa_rotate).js,/package/deobfuscated/index(sa_rotate)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
component-emiter,String Array  Index Shift,/package/obfuscated/index(sa_index_shift).js,/package/deobfuscated/index(sa_index_shift)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
component-emiter,String Array Calls Transform,/package/obfuscated/index(sa_calls_trans).js,/package/deobfuscated/index(sa_calls_trans)deobf.js,obfuscator.io,deobfuscate.relative.im,No,Yes,
@xvideos_alerts,Simplify,/package/obfuscated/build-project(simplify).js,/package/deobfuscated/build-project(simplify)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
@xvideos_alerts,Self Defending,/package/obfuscated/build-project(self_def).js,/package/deobfuscated/build-project(self_def)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,In obfuscator.io forcibly sets compact obfuscation value to true 
@xvideos_alerts,Debug Protection,/package/obfuscated/build-project(deb_protect).js,/package/deobfuscated/build-project(deb_protect)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
@xvideos_alerts,Number to Expressions,/package/obfuscated/build-project(num_to_exp).js,/package/deobfuscated/build-project(num_to_exp)deobf.js,obfuscator.io,deobfuscate.relative.im,Yes,Yes,
